13:13:15.989 - accX: -61, accY: 3, accZ: -8
13:13:16.005 - accX: -62, accY: 3, accZ: -9
13:13:16.020 - accX: -62, accY: 3, accZ: -9
13:13:16.030 - accX: -62, accY: 3, accZ: -9
13:13:16.049 - accX: -63, accY: 3, accZ: -9
13:13:16.066 - accX: -62, accY: 2, accZ: -9
13:13:16.077 - accX: -62, accY: 3, accZ: -9
13:13:16.100 - accX: -62, accY: 2, accZ: -9
13:13:16.114 - accX: -62, accY: 3, accZ: -10
13:13:16.127 - accX: -62, accY: 2, accZ: -8
13:13:16.154 - accX: -62, accY: 2, accZ: -9
13:13:16.168 - accX: -62, accY: 3, accZ: -8
13:13:16.181 - accX: -62, accY: 3, accZ: -9
13:13:16.192 - accX: -63, accY: 2, accZ: -8
13:13:16.217 - accX: -62, accY: 3, accZ: -9
13:13:16.233 - accX: -63, accY: 2, accZ: -8
13:13:16.245 - accX: -62, accY: 3, accZ: -8
13:13:16.258 - accX: -62, accY: 2, accZ: -8
13:13:16.283 - accX: -61, accY: 3, accZ: -9
13:13:16.297 - accX: -62, accY: 3, accZ: -9
13:13:16.309 - accX: -61, accY: 2, accZ: -8
13:13:16.323 - accX: -62, accY: 3, accZ: -10
13:13:16.348 - accX: -63, accY: 3, accZ: -8
13:13:16.364 - accX: -61, accY: 2, accZ: -8
13:13:16.376 - accX: -62, accY: 2, accZ: -10
13:13:16.406 - accX: -62, accY: 2, accZ: -9
13:13:16.442 - accX: -63, accY: 1, accZ: -10
13:13:16.480 - accX: -56, accY: -35, accZ: -30
13:13:16.517 - accX: -75, accY: -18, accZ: -24
13:13:16.552 - accX: -109, accY: -31, accZ: -5
13:13:16.600 - accX: -106, accY: -21, accZ: -19
13:13:16.631 - accX: -81, accY: -27, accZ: -25
13:13:16.646 - accX: -62, accY: -35, accZ: -29
13:13:16.659 - accX: -30, accY: -16, accZ: -53
13:13:16.675 - accX: 3, accY: -44, accZ: -37
13:13:16.690 - accX: 20, accY: -28, accZ: -27
13:13:16.704 - accX: 7, accY: 3, accZ: -8
13:13:16.721 - accX: -11, accY: 7, accZ: -5
13:13:16.740 - accX: -11, accY: 8, accZ: -5
13:13:16.754 - accX: -12, accY: 8, accZ: -5
13:13:16.778 - accX: 9, accY: 127, accZ: 41
13:13:16.801 - accX: 10, accY: 49, accZ: 15
13:13:16.817 - accX: -26, accY: 55, accZ: 73
13:13:16.833 - accX: 8, accY: -33, accZ: 122
13:13:16.849 - accX: 20, accY: -26, accZ: 22
