14:23:44.842 - accX: -107, accY: 122, accZ: -47
14:23:44.859 - accX: -43, accY: 10, accZ: 69
14:23:44.878 - accX: -47, accY: -19, accZ: 50
14:23:44.898 - accX: 23, accY: 59, accZ: 81
14:23:44.919 - accX: 46, accY: 59, accZ: 26
14:23:44.935 - accX: 101, accY: 127, accZ: -128
14:23:44.952 - accX: 62, accY: 52, accZ: -88
14:23:44.983 - accX: 17, accY: -2, accZ: -15
14:23:45.001 - accX: 9, accY: 5, accZ: -14
14:23:45.018 - accX: 37, accY: 41, accZ: -32
14:23:45.035 - accX: 127, accY: 127, accZ: -12
14:23:45.052 - accX: 90, accY: 57, accZ: 93
14:23:45.069 - accX: 11, accY: 3, accZ: -3
14:23:45.087 - accX: 5, accY: -3, accZ: -14
