14:32:33.809 - accX: -29, accY: -114, accZ: -5
14:32:33.832 - accX: -10, accY: -41, accZ: 19
14:32:33.854 - accX: 107, accY: -101, accZ: 12
14:32:33.870 - accX: 14, accY: -12, accZ: -8
14:32:33.889 - accX: -83, accY: -43, accZ: 34
14:32:33.907 - accX: -33, accY: -9, accZ: 5
14:32:33.924 - accX: -108, accY: -34, accZ: 0
14:32:33.940 - accX: -14, accY: -10, accZ: -5
14:32:33.957 - accX: -17, accY: -24, accZ: 16
14:32:33.972 - accX: -43, accY: -127, accZ: 5
14:32:33.989 - accX: 80, accY: -121, accZ: -55
14:32:34.018 - accX: -18, accY: -38, accZ: 37
14:32:34.034 - accX: -62, accY: -35, accZ: 36
14:32:34.061 - accX: -18, accY: 3, accZ: -2
14:32:34.076 - accX: -99, accY: 24, accZ: 1
14:32:34.093 - accX: -8, accY: -3, accZ: -6
14:32:34.115 - accX: -53, accY: -74, accZ: 1
14:32:34.132 - accX: 20, accY: -42, accZ: 62
14:32:34.149 - accX: 13, accY: -20, accZ: 25
14:32:34.169 - accX: -20, accY: -29, accZ: 20
14:32:34.182 - accX: -105, accY: -14, accZ: 37
14:32:34.198 - accX: -110, accY: 14, accZ: -1
14:32:34.221 - accX: -115, accY: 2, accZ: -38
14:32:34.239 - accX: -78, accY: 9, accZ: -24
14:32:34.254 - accX: -82, accY: 23, accZ: -18
14:32:34.268 - accX: -72, accY: 34, accZ: -21
14:32:34.281 - accX: -55, accY: 39, accZ: -6
14:32:34.310 - accX: -43, accY: 39, accZ: -5
14:32:34.330 - accX: -59, accY: 9, accZ: -2
14:32:34.350 - accX: -54, accY: -1, accZ: -2
14:32:34.371 - accX: -44, accY: -8, accZ: 1
14:32:34.387 - accX: -33, accY: -8, accZ: 2
14:32:34.401 - accX: -31, accY: -10, accZ: 2
14:32:34.425 - accX: -23, accY: -21, accZ: 15
14:32:34.446 - accX: -34, accY: -82, accZ: 19
14:32:34.465 - accX: 0, accY: -101, accZ: 14
14:32:34.489 - accX: 9, accY: -70, accZ: -14
14:32:34.510 - accX: -22, accY: -60, accZ: -9
14:32:34.527 - accX: -40, accY: -69, accZ: 3
14:32:34.547 - accX: -42, accY: -61, accZ: 3
14:32:34.563 - accX: -43, accY: -38, accZ: -3
14:32:34.582 - accX: -60, accY: -24, accZ: -17
14:32:34.598 - accX: -46, accY: -6, accZ: -40
14:32:34.615 - accX: -45, accY: 3, accZ: -31
14:32:34.631 - accX: -52, accY: -4, accZ: -36
14:32:34.652 - accX: -65, accY: 21, accZ: -29
14:32:34.669 - accX: -77, accY: 34, accZ: -63
14:32:34.685 - accX: -48, accY: 65, accZ: 10
14:32:34.707 - accX: -30, accY: 35, accZ: -11
14:32:34.724 - accX: -30, accY: 34, accZ: -12
14:32:34.738 - accX: -30, accY: 34, accZ: -11
14:32:34.753 - accX: -29, accY: 34, accZ: -11
14:32:34.782 - accX: -30, accY: 34, accZ: -11
14:32:34.805 - accX: -30, accY: 34, accZ: -11
14:32:34.816 - accX: -122, accY: 32, accZ: -74
14:32:34.832 - accX: -73, accY: 17, accZ: -33
14:32:34.847 - accX: -11, accY: -1, accZ: -15
14:32:34.863 - accX: -11, accY: 0, accZ: -16
14:32:34.877 - accX: -11, accY: 0, accZ: -15
